,node_id,ip_addr
64,N24590787,"[nan, '66.115.208.210', nan, nan, nan, nan, nan, nan, nan, nan]"
65,N24590791,"[nan, '66.115.216.206', nan, nan, nan, nan, nan, nan, nan, nan]"
66,N24590792,"[nan, '66.115.218.12', nan, nan, nan, nan, nan, nan, nan, nan]"
67,N24590793,"[nan, '66.115.218.158', nan, nan, nan, nan, nan, nan, nan, nan]"
68,N24590794,"[nan, '66.115.219.95', nan, nan, nan, nan, nan, nan, nan, nan]"
69,N24590795,"[nan, '66.115.219.102', nan, nan, nan, nan, nan, nan, nan, nan]"
70,N24590796,"[nan, '66.115.221.2', nan, nan, nan, nan, nan, nan, nan, nan]"
71,N24590798,"[nan, '66.115.233.230', nan, nan, nan, nan, nan, nan, nan, nan]"
72,N24591380,"[nan, '66.128.160.188', nan, nan, nan, nan, nan, nan, nan, nan]"
73,N24591381,"[nan, '66.128.168.129', nan, nan, nan, nan, nan, nan, nan, nan]"
74,N24591382,"[nan, '66.128.168.132', nan, nan, nan, nan, nan, nan, nan, nan]"
75,N24591383,"[nan, '66.128.168.178', nan, nan, nan, nan, nan, nan, nan, nan]"
76,N24591384,"[nan, '66.128.169.94', nan, nan, nan, nan, nan, nan, nan, nan]"
77,N24591385,"[nan, '66.128.172.26', nan, nan, nan, nan, nan, nan, nan, nan]"
78,N24598903,"[nan, '66.231.1.202', nan, nan, nan, nan, nan, nan, nan, nan]"
79,N24598904,"[nan, '66.231.1.210', nan, nan, nan, nan, nan, nan, nan, nan]"
80,N24598905,"[nan, '66.231.4.66', nan, nan, nan, nan, nan, nan, nan, nan]"
81,N24598906,"[nan, '66.231.7.254', nan, nan, nan, nan, nan, nan, nan, nan]"
82,N24598907,"[nan, '66.231.10.2', nan, nan, nan, nan, nan, nan, nan, nan]"
83,N24598908,"[nan, '66.231.18.46', nan, nan, nan, nan, nan, nan, nan, nan]"
84,N24598909,"[nan, '66.231.20.18', nan, nan, nan, nan, nan, nan, nan, nan]"
85,N24598910,"[nan, '66.231.21.140', nan, nan, nan, nan, nan, nan, nan, nan]"
86,N24598911,"[nan, '66.231.21.149', nan, nan, nan, nan, nan, nan, nan, nan]"
87,N24598912,"[nan, '66.231.21.158', nan, nan, nan, nan, nan, nan, nan, nan]"
88,N24598913,"[nan, '66.231.21.162', nan, nan, nan, nan, nan, nan, nan, nan]"
89,N24598914,"[nan, '66.231.28.98', nan, nan, nan, nan, nan, nan, nan, nan]"
90,N24598915,"[nan, '66.231.30.20', nan, nan, nan, nan, nan, nan, nan, nan]"
91,N24636411,"[nan, '68.168.224.71', nan, nan, nan, nan, nan, nan, nan, nan]"
92,N24780052,"[nan, '75.102.160.5', nan, nan, nan, nan, nan, nan, nan, nan]"
93,N24780053,"[nan, '75.102.160.129', nan, nan, nan, nan, nan, nan, nan, nan]"
94,N24780054,"[nan, '75.102.161.17', nan, nan, nan, nan, nan, nan, nan, nan]"
95,N25424172,"[nan, '142.0.2.125', nan, nan, nan, nan, nan, nan, nan, nan]"
96,N25424173,"[nan, '142.0.3.254', nan, nan, nan, nan, nan, nan, nan, nan]"
97,N25486006,"[nan, '162.218.47.2', nan, nan, nan, nan, nan, nan, nan, nan]"
98,N25486007,"[nan, '162.218.47.3', nan, nan, nan, nan, nan, nan, nan, nan]"
99,N25486008,"[nan, '162.218.47.18', nan, nan, nan, nan, nan, nan, nan, nan]"
100,N25486009,"[nan, '162.218.47.19', nan, nan, nan, nan, nan, nan, nan, nan]"
101,N25486010,"[nan, '162.218.47.21', nan, nan, nan, nan, nan, nan, nan, nan]"
102,N25486011,"[nan, '162.218.47.22', nan, nan, nan, nan, nan, nan, nan, nan]"
103,N25879374,"[nan, '208.53.200.131', nan, nan, nan, nan, nan, nan, nan, nan]"
104,N25879375,"[nan, '208.53.203.216', nan, nan, nan, nan, nan, nan, nan, nan]"
105,N25879376,"[nan, '208.53.214.82', nan, nan, nan, nan, nan, nan, nan, nan]"
106,N25879378,"[nan, '208.53.236.20', nan, nan, nan, nan, nan, nan, nan, nan]"
107,N25879379,"[nan, '208.53.236.23', nan, nan, nan, nan, nan, nan, nan, nan]"
108,N25879380,"[nan, '208.53.236.30', nan, nan, nan, nan, nan, nan, nan, nan]"
109,N25879381,"[nan, '208.53.236.72', nan, nan, nan, nan, nan, nan, nan, nan]"
110,N25879382,"[nan, '208.53.237.90', nan, nan, nan, nan, nan, nan, nan, nan]"
111,N25879383,"[nan, '208.53.237.107', nan, nan, nan, nan, nan, nan, nan, nan]"
112,N25879384,"[nan, '208.53.237.109', nan, nan, nan, nan, nan, nan, nan, nan]"
113,N25879385,"[nan, '208.53.237.206', nan, nan, nan, nan, nan, nan, nan, nan]"
114,N25879386,"[nan, '208.53.242.242', nan, nan, nan, nan, nan, nan, nan, nan]"
115,N25879388,"[nan, '208.53.243.130', nan, nan, nan, nan, nan, nan, nan, nan]"
116,N25894008,"[nan, '209.151.176.142', nan, nan, nan, nan, nan, nan, nan, nan]"
117,N26001875,"[nan, '216.106.220.137', nan, nan, nan, nan, nan, nan, nan, nan]"
118,N26001876,"[nan, '216.106.253.163', nan, nan, nan, nan, nan, nan, nan, nan]"
119,N26010414,"[nan, '216.249.241.3', nan, nan, nan, nan, nan, nan, nan, nan]"
120,N26010415,"[nan, '216.249.241.242', nan, nan, nan, nan, nan, nan, nan, nan]"
121,N41422359,"[nan, '192.190.206.84', nan, nan, nan, nan, nan, nan, nan, nan]"
122,N41434710,"[nan, '198.74.28.147', nan, nan, nan, nan, nan, nan, nan, nan]"
123,N41610277,"[nan, '139.60.109.5', nan, nan, nan, nan, nan, nan, nan, nan]"
124,N41612143,"[nan, '66.128.176.114', nan, nan, nan, nan, nan, nan, nan, nan]"
125,N41619976,"[nan, '139.60.108.96', nan, nan, nan, nan, nan, nan, nan, nan]"
126,N41689511,"[nan, '216.106.229.134', nan, nan, nan, nan, nan, nan, nan, nan]"
127,N41718808,"[nan, '66.115.210.2', nan, nan, nan, nan, nan, nan, nan, nan]"
128,N41782560,"[nan, '139.60.110.27', nan, nan, nan, nan, nan, nan, nan, nan]"
129,N41895146,"[nan, '66.115.210.23', nan, nan, nan, nan, nan, nan, nan, nan]"
130,N41951434,"[nan, '192.69.145.236', nan, nan, nan, nan, nan, nan, nan, nan]"
131,N41988166,"[nan, '216.106.210.157', nan, nan, nan, nan, nan, nan, nan, nan]"
132,N42072732,"[nan, '198.74.31.228', nan, nan, nan, nan, nan, nan, nan, nan]"
133,N42092906,"[nan, '198.74.30.197', nan, nan, nan, nan, nan, nan, nan, nan]"
134,N42113325,"[nan, '208.53.210.225', nan, nan, nan, nan, nan, nan, nan, nan]"
135,N42128132,"[nan, '192.190.207.158', nan, nan, nan, nan, nan, nan, nan, nan]"
136,N42132568,"[nan, '192.190.206.13', nan, nan, nan, nan, nan, nan, nan, nan]"
137,N42148954,"[nan, '208.53.210.236', nan, nan, nan, nan, nan, nan, nan, nan]"
138,N42168356,"[nan, '162.218.46.77', nan, nan, nan, nan, nan, nan, nan, nan]"
139,N42181751,"[nan, '66.128.163.81', nan, nan, nan, nan, nan, nan, nan, nan]"
140,N42205283,"[nan, '192.69.145.177', nan, nan, nan, nan, nan, nan, nan, nan]"
141,N42299068,"[nan, '139.60.109.18', nan, nan, nan, nan, nan, nan, nan, nan]"
142,N42317318,"[nan, '192.69.147.177', nan, nan, nan, nan, nan, nan, nan, nan]"
143,N42336621,"[nan, '66.231.19.58', nan, nan, nan, nan, nan, nan, nan, nan]"
144,N42384851,"[nan, '66.115.210.106', nan, nan, nan, nan, nan, nan, nan, nan]"
145,N42490370,"[nan, '66.115.242.115', nan, nan, nan, nan, nan, nan, nan, nan]"
146,N42509653,"[nan, '198.74.28.121', nan, nan, nan, nan, nan, nan, nan, nan]"
147,N42532444,"[nan, '192.190.207.75', nan, nan, nan, nan, nan, nan, nan, nan]"
148,N42536782,"[nan, '216.106.239.2', nan, nan, nan, nan, nan, nan, nan, nan]"
149,N42544421,"[nan, '216.106.230.118', nan, nan, nan, nan, nan, nan, nan, nan]"
150,N42579803,"[nan, '198.74.31.246', nan, nan, nan, nan, nan, nan, nan, nan]"
151,N42595933,"[nan, '66.128.176.171', nan, nan, nan, nan, nan, nan, nan, nan]"
152,N42658562,"[nan, '192.69.144.196', nan, nan, nan, nan, nan, nan, nan, nan]"
153,N42660502,"[nan, '216.106.220.195', nan, nan, nan, nan, nan, nan, nan, nan]"
154,N42686292,"[nan, '192.69.144.157', nan, nan, nan, nan, nan, nan, nan, nan]"
155,N42801836,"[nan, '139.60.110.35', nan, nan, nan, nan, nan, nan, nan, nan]"
156,N42806563,"[nan, '216.249.198.20', nan, nan, nan, nan, nan, nan, nan, nan]"
157,N42818584,"[nan, '139.60.111.68', nan, nan, nan, nan, nan, nan, nan, nan]"
158,N42929592,"[nan, '198.74.29.69', nan, nan, nan, nan, nan, nan, nan, nan]"
159,N42991740,"[nan, '139.60.109.188', nan, nan, nan, nan, nan, nan, nan, nan]"
